GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
1,63,48.9,10,60,6.9,ENE,30.28,0,-9999,Clear,0,0,-999,-9999
61,53.1,43,10,69,5.8,Variable,30.05,0,-9999,Overcast,0,0,-999,-9999
82,45,32,10,60,6.9,NW,30.26,0,-9999,Mostly Cloudy,0,0,41.2,-9999
95,55,34,10,45,6.9,WSW,30.17,0,-9999,Clear,0,0,-999,-9999
135,64.9,51.1,10,61,4.6,West,30.01,0,-9999,Overcast,0,0,-999,-9999
185,28.9,17.1,10,61,4.6,Variable,30.34,0,-9999,Clear,0,0,23.9,-9999
217,28,19,10,69,8.1,West,30.1,0,-9999,Mostly Cloudy,0,0,20,-9999
235,42.1,21.9,10,45,12.7,SW,29.86,0,-9999,Scattered Clouds,0,0,35.2,-9999
251,70,55,10,59,6.9,Variable,30.03,0,-9999,Scattered Clouds,0,0,-999,-9999
291,57,48,10,72,4.6,Variable,30.1,0,-9999,Scattered Clouds,0,0,-999,-9999
320,64.9,43,10,45,9.2,West,29.99,0,-9999,Clear,0,0,-999,-9999
383,46.9,45,10,93,5.8,West,30,0,-9999,Overcast,0,0,-999,-9999
389,61,42.1,10,50,10.4,SSE,30.23,0,-9999,Clear,0,0,-999,-9999
436,39,36,10,89,17.3,SW,29.32,0,0.02,Light Rain,1,0,29.9,-9999
461,24.1,18,2,77,6.9,SW,30.09,0,0,Light Snow,0,1,16,-9999
465,26.6,19.4,10,74,10.4,NW,30.24,0,-9999,Overcast,0,0,16.8,-9999
506,63,46.9,10,56,9.2,SE,30.34,0,-9999,Overcast,0,0,-999,-9999
545,78.1,45,10,31,0,North,30.4,0,-9999,Clear,0,0,-999,-9999
560,64,37.9,10,38,19.6,SW,29.81,0,-9999,Mostly Cloudy,0,0,-999,-9999
592,39.2,35.6,4,87,3.5,SSE,30.24,0,-9999,Haze,0,0,37,-9999
609,48,26.1,10,42,5.8,SSE,30.33,0,-9999,Clear,0,0,-999,-9999
663,60.1,28,10,30,11.5,South,30.26,0,-9999,Scattered Clouds,0,0,-999,-9999
673,30,25,10,82,8.1,South,30.3,0,-9999,Scattered Clouds,0,0,22.4,-9999
715,37,25,10,62,3.5,South,30.38,0,-9999,Overcast,0,0,34.5,-9999
748,72,41,10,33,0,North,30.1,0,-9999,Clear,0,0,-999,-9999
786,46.9,35.1,10,63,8.1,NW,30.11,0,0,Light Rain,1,0,-999,-9999
834,45,42.1,3,90,9.2,NNW,29.89,0,0.04,Light Rain,1,0,40.1,-9999
866,42.1,37.9,6,85,12.7,SW,30.3,0,0.03,Light Rain,1,0,35.2,-9999
879,44.1,26.1,10,49,6.9,ESE,30.48,0,-9999,Clear,0,0,40.1,-9999
916,53.1,45,10,74,6.9,ESE,29.99,0,-9999,Mostly Cloudy,0,0,-999,-9999
949,37.9,23,10,55,13.8,SW,29.92,0,-9999,Clear,0,0,29.6,-9999
971,73.9,64.9,8,73,4.6,Variable,29.99,0,-9999,Overcast,0,0,-999,-9999
1007,54,46,10,75,6.9,North,30.02,0,-9999,Overcast,0,0,-999,-9999
1065,55.9,35.1,10,45,13.8,SSW,30.03,0,-9999,Clear,0,0,-999,-9999
