GameID|HomeTeam|AwayTeam|GameWinner|GameLoser|ScoreHome|ScoreAway|HomeFirstDowns|HomePassingYards|HomePenaltyCnt|HomePenaltyYards|HomePossTime|HomePuntAvg|HomepuntCnt|HomePuntYards|HomeRushingYards|HomeTotalYards|HomeTurnOvers|AwayFirstDowns|AwayPassingYards|AwayPenaltyCnt|AwayPenaltyYards|AwayPossTime|AwayPuntAvg|AwaypuntCnt|AwayPuntYards|AwayRushingYards|AwayTotalYards|AwayTurnOvers|HomeFieldGoals|AwayFieldGoals|HomeTouchDowns|AwayTouchDowns|HomePassingComp|AwayPassingComp|HomePassingAtt|AwayPassingAtt|HomePassingTD|AwayPassingTD|HomeRushingAtt|AwayRushingAtt|HomeRushingTD|AwayRushingTD|Year|Week|Date|Day|TimeOfDay|NumericDate|Temp|DewPoint|Visiability|Humidity|WindSpeed|WindDir|Pressure|Fog|Precipitation|Condition|Rain|Snow|WindChill|HeatIndex|HomePassYardsPerAttempt|HomePassingCompPct|AwayPassYardsPerAttempt|AwayPassingCompPct|HomeRushYardsPerAttempt|AwayRushYardsPerAttempt|HomeTeamWin
1|PIT|TEN|PIT|TEN|13|10|19|321|6|60|36:11|41|7|299|36|357|3|18|234|5|28|28:21|42|5|223|86|320|2|2|1|1|1|33|22|43|35|1|1|23|25|0|0|2009|1|9/10/2009|3|8:30|20090910|63.0|48.9|10.0|60.0|6.9|ENE|30.28|0.0||Clear|0.0|0.0|||9.72727272727|0.767441860465|10.6363636364|0.628571428571|1.5652173913|3.44|1
2|ATL|MIA|ATL|MIA|19|7|19|213|4|35|30:53|31|4|155|68|281|0|16|163|4|27|29:07|39|5|225|96|259|4|2|0|2|1|22|21|36|30|2|1|27|22|0|0|2009|1|9/13/2009|6|1:00|20090913|79.0|63.0|9.0|58.0|4.6|East|29.99|0.0||Clear|0.0|0.0|||9.68181818182|0.611111111111|7.7619047619|0.7|2.51851851852|4.36363636364|1
3|BAL|KC|BAL|KC|38|24|32|303|8|65|39:49|29|3|87|198|501|1|11|159|3|15|20:11|47|5|246|29|188|0|1|1|5|3|26|16|43|24|3|2|41|17|2|0|2009|1|9/13/2009|6|1:00|20090913|79.0|55.9||45.0||North|29.95|0.0||Unknown|0.0|0.0|||11.6538461538|0.604651162791|9.9375|0.666666666667|4.82926829268|1.70588235294|1
4|CAR|PHI|PHI|CAR|10|38|14|83|5|30|28:23|19|4|223|86|169|7|17|82|9|76|31:37|35|4|171|185|267|2|1|1|1|5|14|17|34|29|0|2|30|32|1|1|2009|1|9/13/2009|6|1:00|20090913|81.0|57.0|10.0|44.0|4.6|NNE|30.0|0.0||Mostly Cloudy|0.0|0.0||81.0|5.92857142857|0.411764705882|4.82352941176|0.586206896552|2.86666666667|5.78125|0
5|CIN|DEN|DEN|CIN|7|12|16|221|4|27|33:27|37|7|278|86|307|2|10|227|6|39|26:33|36|8|340|75|302|0|2|0|1|1|21|17|33|28|0|1|27|20|1|0|2009|1|9/13/2009|6|1:00|20090913|75.9|50.0|10.0|40.0|5.8|ENE|30.12|0.0||Clear|0.0|0.0|||10.5238095238|0.636363636364|13.3529411765|0.607142857143|3.18518518519|3.75|0
6|CLE|MIN|MIN|CLE|20|34|17|179|8|66|26:38|31|5|210|89|268|2|19|85|3|38|33:22|24|6|232|225|310|0|2|2|2|4|21|14|35|22|1|1|20|37|0|3|2009|1|9/13/2009|6|1:00|20090913|71.1|57.0|10.0|61.0|8.1|West|30.1|0.0||Clear|0.0|0.0|||8.52380952381|0.6|6.07142857143|0.636363636364|4.45|6.08108108108|0
7|HOU|NYJ|NYJ|HOU|7|24|11|145|6|37|21:14|38|6|264|38|183|2|22|272|10|80|38:46|41|4|164|190|462|1|1|0|1|3|18|18|33|31|0|1|13|42|0|2|2009|1|9/13/2009|6|1:00|20090913|78.8|73.4|10.0|83.0|0.0|North|29.7|0.0||Mostly Cloudy|0.0|0.0|||8.05555555556|0.545454545455|15.1111111111|0.58064516129|2.92307692308|4.52380952381|0
8|IND|JAC|IND|JAC|14|12|21|294|3|17|33:56|44|2|88|71|365|2|12|114|3|24|26:04|37|5|189|114|228|0|2|0|2|1|28|14|38|28|1|0|31|26|1|1|2009|1|9/13/2009|6|1:00|20090913|75.0|48.0|10.0|38.0|3.5|Variable|30.12|0.0||Clear|0.0|0.0|||10.5|0.736842105263|8.14285714286|0.5|2.29032258065|4.38461538462|1
9|NO|DET|NO|DET|45|27|28|358|7|36|36:30|21|2|96|157|515|3|14|198|8|80|23:30|39|5|208|33|231|3|2|1|3|6|16|26|37|34|0|6|20|35|2|0|2009|1|9/13/2009|6|1:00|20090913|78.1|75.9|10.0|93.0|9.2|South|29.84|0.0|0.1|Partly Cloudy|0.0|0.0|||22.375|0.432432432432|7.61538461538|0.764705882353|7.85|0.942857142857|1
10|TB|DAL|DAL|TB|21|34|26|276|3|15|33:32|40|5|205|174|450|0|18|344|4|41|26:28|43|4|219|118|462|0|2|0|4|3|16|25|27|42|3|1|24|31|1|2|2009|1|9/13/2009|6|1:00|20090913|89.6|80.6|10.0|75.0|5.8|West|29.91|0.0||Scattered Clouds|0.0|0.0||108.2|17.25|0.592592592593|13.76|0.595238095238|7.25|3.8064516129|0
11|ARI|SF|SF|ARI|16|20|17|259|12|82|28:23|45|6|328|40|299|2|13|182|4|31|31:37|42|8|393|21|203|1|3|2|1|2|26|18|44|31|1|1|17|25|0|1|2009|1|9/13/2009|6|4:15|20090913|100.0|52.0|10.0|20.0|9.2|South|29.63|0.0||Scattered Clouds|0.0|0.0|||9.96153846154|0.590909090909|10.1111111111|0.58064516129|2.35294117647|0.84|0
12|NYG|WAS|NYG|WAS|23|17|18|248|4|30|36:08|47|1|48|103|351|2|15|187|4|32|23:52|35|5|193|85|272|2|3|1|2|2|20|19|29|26|1|1|31|21|0|1|2009|1|9/13/2009|6|4:15|20090913|79.0|54.0|10.0|42.0|5.8|NW|29.83|0.0||Scattered Clouds|0.0|0.0|||12.4|0.689655172414|9.84210526316|0.730769230769|3.32258064516|4.04761904762|1
13|SEA|STL|SEA|STL|28|0|25|279|4|25|32:27|40|5|266|167|446|3|13|170|10|85|27:33|45|8|406|77|247|1|0|0|4|0|25|17|36|36|3|0|34|18|1|0|2009|1|9/13/2009|6|4:15|20090913|73.9|57.9|10.0|57.0|6.9|South|29.61|0.0||Clear|0.0|0.0|||11.16|0.694444444444|10.0|0.472222222222|4.91176470588|4.27777777778|1
14|GB|CHI|GB|CHI|21|15|12|150|6|45|26:57|36|6|268|76|226|0|18|266|3|25|33:03|46|4|198|86|352|4|2|2|1|2|17|17|36|28|1|1|31|22|0|1|2009|1|9/13/2009|6|8:20|20090913|69.1|62.1|9.0|78.0|4.6|WNW|30.06|0.0||Scattered Clouds|0.0|0.0|||8.82352941176|0.472222222222|15.6470588235|0.607142857143|2.45161290323|3.90909090909|1
